write_fact_A,query_B,expected_output_A
Eko Saputra bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Eko Saputra?,Koki
"Nama lengkap orang ini adalah Dedy Saputra, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Dedy Saputra
Andi memiliki peliharaan Ayam yang diberi nama Bella.,Siapa nama Ayam peliharaan Andi?,Bella
Kendaraan sehari-hari Wati adalah mobil Toyota berwarna Perak.,Apa merek dan warna mobil Wati?,Toyota berwarna Perak
Kendaraan sehari-hari Eko adalah mobil Suzuki berwarna Oranye.,Apa merek dan warna mobil Eko?,Suzuki berwarna Oranye
Kendaraan sehari-hari Budi adalah mobil Mitsubishi berwarna Kuning.,Apa merek dan warna mobil Budi?,Mitsubishi berwarna Kuning
Iwan baru saja membeli mobil Suzuki yang warnanya Hijau.,Apa warna mobil Suzuki yang dibeli Iwan?,Hijau
Putri baru saja membeli mobil Mitsubishi yang warnanya Hitam.,Apa warna mobil Mitsubishi yang dibeli Putri?,Hitam
Wati Wibowo lahir dan dibesarkan di kota Pontianak.,Di mana Wati Wibowo lahir dan dibesarkan?,Pontianak
"Nama lengkap orang ini adalah Sari Gunawan, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Sari Gunawan
Kendaraan sehari-hari Doni adalah mobil Honda berwarna Cokelat.,Apa merek dan warna mobil Doni?,Honda berwarna Cokelat
"Nama lengkap orang ini adalah Lia Setiawan, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Lia Setiawan
"Nama lengkap orang ini adalah Joko Suryono, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Joko Suryono
Doni memiliki peliharaan Ikan yang diberi nama Bubu.,Siapa nama Ikan peliharaan Doni?,Bubu
Dewi Halim bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Dewi Halim?,Programmer
Fitri Wijaya bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Fitri Wijaya?,Guru
Nita baru saja membeli mobil Mercedes-Benz yang warnanya Cokelat.,Apa warna mobil Mercedes-Benz yang dibeli Nita?,Cokelat
Kendaraan sehari-hari Maya adalah mobil Ford berwarna Hitam.,Apa merek dan warna mobil Maya?,Ford berwarna Hitam
Agus Purnama bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Agus Purnama?,Penyanyi
Fitri Pratama bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Fitri Pratama?,Nelayan
Kode rahasia untuk User_118 adalah 974002.,Apa kode rahasia untuk User_118?,974002
Tono memiliki peliharaan Kucing yang diberi nama Zorro.,Siapa nama Kucing peliharaan Tono?,Zorro
Sari Nasution bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Sari Nasution?,Seniman
Dewi Nasution bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Dewi Nasution?,Pilot
Kode rahasia untuk User_137 adalah 787894.,Apa kode rahasia untuk User_137?,787894
Sari Simanjuntak bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Sari Simanjuntak?,Penulis
Kode rahasia untuk User_666 adalah 104034.,Apa kode rahasia untuk User_666?,104034
Kode rahasia untuk User_286 adalah 241802.,Apa kode rahasia untuk User_286?,241802
Iwan Siregar bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Iwan Siregar?,Insinyur
Dian baru saja membeli mobil Mitsubishi yang warnanya Abu-abu.,Apa warna mobil Mitsubishi yang dibeli Dian?,Abu-abu
Kendaraan sehari-hari Rini adalah mobil Mitsubishi berwarna Abu-abu.,Apa merek dan warna mobil Rini?,Mitsubishi berwarna Abu-abu
Aris baru saja membeli mobil Suzuki yang warnanya Merah.,Apa warna mobil Suzuki yang dibeli Aris?,Merah
Ayu baru saja membeli mobil Lexus yang warnanya Merah Muda.,Apa warna mobil Lexus yang dibeli Ayu?,Merah Muda
Eko Purnama bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Eko Purnama?,Koki
Kendaraan sehari-hari Joko adalah mobil Audi berwarna Emas.,Apa merek dan warna mobil Joko?,Audi berwarna Emas
Kendaraan sehari-hari Doni adalah mobil Toyota berwarna Perak.,Apa merek dan warna mobil Doni?,Toyota berwarna Perak
Siti Pratama bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Siti Pratama?,Pilot
Sari baru saja membeli mobil Kia yang warnanya Perak.,Apa warna mobil Kia yang dibeli Sari?,Perak
Dedy baru saja membeli mobil Mazda yang warnanya Emas.,Apa warna mobil Mazda yang dibeli Dedy?,Emas
Hadi Kusuma lahir dan dibesarkan di kota Banjarmasin.,Di mana Hadi Kusuma lahir dan dibesarkan?,Banjarmasin
Kode rahasia untuk User_836 adalah 234029.,Apa kode rahasia untuk User_836?,234029
"Nama lengkap orang ini adalah Budi Nasution, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Budi Nasution
Bayu Rahman bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Bayu Rahman?,Seniman
"Nama lengkap orang ini adalah Nita Santoso, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Nita Santoso
Kode rahasia untuk User_466 adalah 781651.,Apa kode rahasia untuk User_466?,781651
Mega memiliki peliharaan Ikan yang diberi nama Max.,Siapa nama Ikan peliharaan Mega?,Max
Doni Purnama lahir dan dibesarkan di kota Kupang.,Di mana Doni Purnama lahir dan dibesarkan?,Kupang
"Nama lengkap orang ini adalah Dedy Utama, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Dedy Utama
Lia Setiawan lahir dan dibesarkan di kota Denpasar.,Di mana Lia Setiawan lahir dan dibesarkan?,Denpasar
Kendaraan sehari-hari Maya adalah mobil BMW berwarna Biru.,Apa merek dan warna mobil Maya?,BMW berwarna Biru
Kendaraan sehari-hari Rudi adalah mobil Mazda berwarna Biru.,Apa merek dan warna mobil Rudi?,Mazda berwarna Biru
Rina memiliki peliharaan Hamster yang diberi nama Max.,Siapa nama Hamster peliharaan Rina?,Max
"Nama lengkap orang ini adalah Rio Lim, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Rio Lim
Dian Suryono bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Dian Suryono?,Koki
Kode rahasia untuk User_743 adalah 556293.,Apa kode rahasia untuk User_743?,556293
Wati Nasution bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Wati Nasution?,Pilot
Rio baru saja membeli mobil Lexus yang warnanya Hitam.,Apa warna mobil Lexus yang dibeli Rio?,Hitam
Dewi Putra bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Dewi Putra?,Pilot
Rio memiliki peliharaan Kura-kura yang diberi nama Bella.,Siapa nama Kura-kura peliharaan Rio?,Bella
Kode rahasia untuk User_451 adalah 874734.,Apa kode rahasia untuk User_451?,874734
Kendaraan sehari-hari Bayu adalah mobil Hyundai berwarna Kuning.,Apa merek dan warna mobil Bayu?,Hyundai berwarna Kuning
Hadi memiliki peliharaan Hamster yang diberi nama Nemo.,Siapa nama Hamster peliharaan Hadi?,Nemo
Maya memiliki peliharaan Musang yang diberi nama Leo.,Siapa nama Musang peliharaan Maya?,Leo
Hadi Saputra lahir dan dibesarkan di kota Mataram.,Di mana Hadi Saputra lahir dan dibesarkan?,Mataram
"Nama lengkap orang ini adalah Aris Lim, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Aris Lim
Iwan Santoso bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Iwan Santoso?,Penyanyi
"Nama lengkap orang ini adalah Doni Halim, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Doni Halim
Joko memiliki peliharaan Musang yang diberi nama Kiko.,Siapa nama Musang peliharaan Joko?,Kiko
Kode rahasia untuk User_912 adalah 753900.,Apa kode rahasia untuk User_912?,753900
Lia baru saja membeli mobil BMW yang warnanya Abu-abu.,Apa warna mobil BMW yang dibeli Lia?,Abu-abu
Kendaraan sehari-hari Hendra adalah mobil Daihatsu berwarna Ungu.,Apa merek dan warna mobil Hendra?,Daihatsu berwarna Ungu
Kode rahasia untuk User_424 adalah 914483.,Apa kode rahasia untuk User_424?,914483
"Nama lengkap orang ini adalah Putri Wibowo, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Putri Wibowo
"Nama lengkap orang ini adalah Budi Santoso, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Budi Santoso
Putri Wibowo bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Putri Wibowo?,Penulis
Joko baru saja membeli mobil Lexus yang warnanya Biru.,Apa warna mobil Lexus yang dibeli Joko?,Biru
Tono Suryono lahir dan dibesarkan di kota Pontianak.,Di mana Tono Suryono lahir dan dibesarkan?,Pontianak
Kode rahasia untuk User_207 adalah 602625.,Apa kode rahasia untuk User_207?,602625
"Nama lengkap orang ini adalah Fitri Putra, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Fitri Putra
Doni memiliki peliharaan Ikan yang diberi nama Milo.,Siapa nama Ikan peliharaan Doni?,Milo
Maya Siregar bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Maya Siregar?,Polisi
Kode rahasia untuk User_644 adalah 482384.,Apa kode rahasia untuk User_644?,482384
Doni Gunawan bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Doni Gunawan?,Pengusaha
Ayu baru saja membeli mobil Nissan yang warnanya Ungu.,Apa warna mobil Nissan yang dibeli Ayu?,Ungu
Dian Setiawan bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Dian Setiawan?,Penyanyi
Doni Halim lahir dan dibesarkan di kota Kupang.,Di mana Doni Halim lahir dan dibesarkan?,Kupang
Lia Siregar bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Lia Siregar?,Polisi
Dedy Saputra lahir dan dibesarkan di kota Yogyakarta.,Di mana Dedy Saputra lahir dan dibesarkan?,Yogyakarta
Kode rahasia untuk User_379 adalah 940867.,Apa kode rahasia untuk User_379?,940867
Kode rahasia untuk User_742 adalah 164118.,Apa kode rahasia untuk User_742?,164118
Rudi memiliki peliharaan Anjing yang diberi nama Rocky.,Siapa nama Anjing peliharaan Rudi?,Rocky
Aris Utama bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Aris Utama?,Insinyur
Iwan memiliki peliharaan Kelinci yang diberi nama Chico.,Siapa nama Kelinci peliharaan Iwan?,Chico
Sari Halim lahir dan dibesarkan di kota Palembang.,Di mana Sari Halim lahir dan dibesarkan?,Palembang
Tono memiliki peliharaan Bebek yang diberi nama Nemo.,Siapa nama Bebek peliharaan Tono?,Nemo
Doni Putra bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Doni Putra?,Arsitek
Kode rahasia untuk User_731 adalah 745266.,Apa kode rahasia untuk User_731?,745266
Kendaraan sehari-hari Nina adalah mobil Mazda berwarna Hitam.,Apa merek dan warna mobil Nina?,Mazda berwarna Hitam
"Nama lengkap orang ini adalah Wati Lim, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Wati Lim
"Nama lengkap orang ini adalah Dian Putra, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Dian Putra
Mega Lim bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Mega Lim?,Penyanyi
"Nama lengkap orang ini adalah Agus Nasution, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Agus Nasution
Hadi baru saja membeli mobil Chevrolet yang warnanya Ungu.,Apa warna mobil Chevrolet yang dibeli Hadi?,Ungu
Nita memiliki peliharaan Bebek yang diberi nama Nemo.,Siapa nama Bebek peliharaan Nita?,Nemo
"Nama lengkap orang ini adalah Rio Santoso, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Rio Santoso
Andi Kusuma lahir dan dibesarkan di kota Surabaya.,Di mana Andi Kusuma lahir dan dibesarkan?,Surabaya
Kode rahasia untuk User_490 adalah 703682.,Apa kode rahasia untuk User_490?,703682
Dewi Rahman lahir dan dibesarkan di kota Malang.,Di mana Dewi Rahman lahir dan dibesarkan?,Malang
Andi memiliki peliharaan Kura-kura yang diberi nama Bubu.,Siapa nama Kura-kura peliharaan Andi?,Bubu
Kendaraan sehari-hari Hadi adalah mobil Chevrolet berwarna Ungu.,Apa merek dan warna mobil Hadi?,Chevrolet berwarna Ungu
Agus Wijaya lahir dan dibesarkan di kota Banjarmasin.,Di mana Agus Wijaya lahir dan dibesarkan?,Banjarmasin
Ayu Setiawan lahir dan dibesarkan di kota Padang.,Di mana Ayu Setiawan lahir dan dibesarkan?,Padang
Kode rahasia untuk User_282 adalah 293076.,Apa kode rahasia untuk User_282?,293076
"Nama lengkap orang ini adalah Agus Halim, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Agus Halim
Maya Pratama bekerja sebagai seorang Pramugari profesional.,Apa pekerjaan dari Maya Pratama?,Pramugari
Kode rahasia untuk User_517 adalah 753026.,Apa kode rahasia untuk User_517?,753026
Tono memiliki peliharaan Musang yang diberi nama Simba.,Siapa nama Musang peliharaan Tono?,Simba
Dian Purnama bekerja sebagai seorang Pramugari profesional.,Apa pekerjaan dari Dian Purnama?,Pramugari
Dian memiliki peliharaan Anjing yang diberi nama Bubu.,Siapa nama Anjing peliharaan Dian?,Bubu
Dedy baru saja membeli mobil Honda yang warnanya Hitam.,Apa warna mobil Honda yang dibeli Dedy?,Hitam
Kendaraan sehari-hari Sari adalah mobil Mazda berwarna Emas.,Apa merek dan warna mobil Sari?,Mazda berwarna Emas
Kendaraan sehari-hari Rina adalah mobil Chevrolet berwarna Biru.,Apa merek dan warna mobil Rina?,Chevrolet berwarna Biru
Kode rahasia untuk User_592 adalah 515320.,Apa kode rahasia untuk User_592?,515320
"Nama lengkap orang ini adalah Ayu Nasution, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Ayu Nasution
Maya baru saja membeli mobil Mercedes-Benz yang warnanya Perak.,Apa warna mobil Mercedes-Benz yang dibeli Maya?,Perak
Hadi Simanjuntak lahir dan dibesarkan di kota Yogyakarta.,Di mana Hadi Simanjuntak lahir dan dibesarkan?,Yogyakarta
Kode rahasia untuk User_710 adalah 518487.,Apa kode rahasia untuk User_710?,518487
Kendaraan sehari-hari Tono adalah mobil Lexus berwarna Cokelat.,Apa merek dan warna mobil Tono?,Lexus berwarna Cokelat
Ayu memiliki peliharaan Ikan yang diberi nama Charlie.,Siapa nama Ikan peliharaan Ayu?,Charlie
Bayu baru saja membeli mobil Hyundai yang warnanya Kuning.,Apa warna mobil Hyundai yang dibeli Bayu?,Kuning
Kendaraan sehari-hari Nita adalah mobil BMW berwarna Hijau.,Apa merek dan warna mobil Nita?,BMW berwarna Hijau
"Nama lengkap orang ini adalah Doni Pratama, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Doni Pratama
Fitri Kusuma bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Fitri Kusuma?,Atlet
Nina memiliki peliharaan Anjing yang diberi nama Leo.,Siapa nama Anjing peliharaan Nina?,Leo
Sari baru saja membeli mobil Honda yang warnanya Hitam.,Apa warna mobil Honda yang dibeli Sari?,Hitam
"Nama lengkap orang ini adalah Maya Simanjuntak, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Maya Simanjuntak
Kendaraan sehari-hari Eko adalah mobil Honda berwarna Cokelat.,Apa merek dan warna mobil Eko?,Honda berwarna Cokelat
Wati memiliki peliharaan Kelinci yang diberi nama Lucy.,Siapa nama Kelinci peliharaan Wati?,Lucy
Tono memiliki peliharaan Hamster yang diberi nama Coco.,Siapa nama Hamster peliharaan Tono?,Coco
Putri Suryono lahir dan dibesarkan di kota Yogyakarta.,Di mana Putri Suryono lahir dan dibesarkan?,Yogyakarta
Rina Setiawan lahir dan dibesarkan di kota Yogyakarta.,Di mana Rina Setiawan lahir dan dibesarkan?,Yogyakarta
Dian baru saja membeli mobil Lexus yang warnanya Biru.,Apa warna mobil Lexus yang dibeli Dian?,Biru
"Nama lengkap orang ini adalah Dedy Nasution, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Dedy Nasution
Kendaraan sehari-hari Agus adalah mobil Kia berwarna Ungu.,Apa merek dan warna mobil Agus?,Kia berwarna Ungu
Kode rahasia untuk User_299 adalah 244968.,Apa kode rahasia untuk User_299?,244968
Andi Nasution lahir dan dibesarkan di kota Bandung.,Di mana Andi Nasution lahir dan dibesarkan?,Bandung
Maya Lim lahir dan dibesarkan di kota Samarinda.,Di mana Maya Lim lahir dan dibesarkan?,Samarinda
Sari memiliki peliharaan Kura-kura yang diberi nama Leo.,Siapa nama Kura-kura peliharaan Sari?,Leo
Maya Nugroho lahir dan dibesarkan di kota Manado.,Di mana Maya Nugroho lahir dan dibesarkan?,Manado
Siti memiliki peliharaan Musang yang diberi nama Milo.,Siapa nama Musang peliharaan Siti?,Milo
Joko Purnama lahir dan dibesarkan di kota Malang.,Di mana Joko Purnama lahir dan dibesarkan?,Malang
"Nama lengkap orang ini adalah Hendra Putra, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Hendra Putra
Fitri Nasution lahir dan dibesarkan di kota Denpasar.,Di mana Fitri Nasution lahir dan dibesarkan?,Denpasar
Maya baru saja membeli mobil Chevrolet yang warnanya Merah Muda.,Apa warna mobil Chevrolet yang dibeli Maya?,Merah Muda
Fitri baru saja membeli mobil BMW yang warnanya Hitam.,Apa warna mobil BMW yang dibeli Fitri?,Hitam
Kendaraan sehari-hari Mega adalah mobil Hyundai berwarna Merah Muda.,Apa merek dan warna mobil Mega?,Hyundai berwarna Merah Muda
Kendaraan sehari-hari Rini adalah mobil Nissan berwarna Merah.,Apa merek dan warna mobil Rini?,Nissan berwarna Merah
Wati memiliki peliharaan Bebek yang diberi nama Max.,Siapa nama Bebek peliharaan Wati?,Max
Fitri Simanjuntak lahir dan dibesarkan di kota Yogyakarta.,Di mana Fitri Simanjuntak lahir dan dibesarkan?,Yogyakarta
Rini Gunawan lahir dan dibesarkan di kota Medan.,Di mana Rini Gunawan lahir dan dibesarkan?,Medan
Ayu memiliki peliharaan Ayam yang diberi nama Molly.,Siapa nama Ayam peliharaan Ayu?,Molly
Kode rahasia untuk User_108 adalah 412427.,Apa kode rahasia untuk User_108?,412427
Kode rahasia untuk User_683 adalah 514734.,Apa kode rahasia untuk User_683?,514734
"Nama lengkap orang ini adalah Rudi Saputra, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Rudi Saputra
Kode rahasia untuk User_660 adalah 964286.,Apa kode rahasia untuk User_660?,964286
Kode rahasia untuk User_185 adalah 674348.,Apa kode rahasia untuk User_185?,674348
Dian Hidayat bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Dian Hidayat?,Polisi
Maya Wijaya bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Maya Wijaya?,Guru
"Nama lengkap orang ini adalah Rudi Kusuma, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Rudi Kusuma
Hendra Suryono bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Hendra Suryono?,Tentara
Rini memiliki peliharaan Ikan yang diberi nama Daisy.,Siapa nama Ikan peliharaan Rini?,Daisy
Hendra Wibowo lahir dan dibesarkan di kota Mataram.,Di mana Hendra Wibowo lahir dan dibesarkan?,Mataram
Kode rahasia untuk User_426 adalah 147575.,Apa kode rahasia untuk User_426?,147575
"Nama lengkap orang ini adalah Wati Hidayat, dan dia berasal dari Yogyakarta.",Siapa nama lengkap orang yang berasal dari Yogyakarta ini?,Wati Hidayat
Sari Setiawan bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Sari Setiawan?,Penyanyi
"Nama lengkap orang ini adalah Rini Pratama, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Rini Pratama
"Nama lengkap orang ini adalah Rini Nugroho, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Rini Nugroho
